Rk,Year,Tm,Lg,W,L,Finish,Playoffs,Stadium,Attendance,Attend/G,Rank,Est. Payroll,PPF,BPF
124,1891,Cincinnati Reds,NL,56,81,7,,League Park I,97500,1455,8th of 8,,99,99
125,1890,Cincinnati Reds,NL,77,55,4,,League Park I,131980,1808,3rd,,102,102
126,1889,Cincinnati Red Stockings,AA,76,63,4,,League Park I,,,,,102,103
127,1888,Cincinnati Red Stockings,AA,80,54,4,,League Park I,,,,,101,104
128,1887,Cincinnati Red Stockings,AA,81,54,2,,League Park I,,,,,101,102
129,1886,Cincinnati Red Stockings,AA,65,73,5,,League Park I,,,,,101,103
130,1885,Cincinnati Red Stockings,AA,63,49,2,,League Park I,,,,,101,103
131,1884,Cincinnati Red Stockings,AA,68,41,5,,League Park I &  Washington Park I,,,,,102,105
132,1883,Cincinnati Red Stockings,AA,61,37,3,,Bank Street Grounds,,,,,99,105
133,1882,Cincinnati Red Stockings,AA,55,25,1,,Bank Street Grounds,,,,,98,106

1,2014,Milwaukee Brewers,NL Central,82,80,3,,Miller Park,2797384,34536,4th of 15,$91625000,103,102
2,2013,Milwaukee Brewers,NL Central,74,88,4,,Miller Park,2531105,31248,9th of 15,$86455000,103,103
3,2012,Milwaukee Brewers,NL Central,83,79,3,,Miller Park,2831385,34955,6th of 16,$95717000,104,105
4,2011,Milwaukee Brewers,NL Central,96,66,1,Lost NLCS (4-2),Miller Park,3071373,37918,4th of 16,$86636333,103,103
5,2010,Milwaukee Brewers,NL Central,77,85,3,,Miller Park,2776531,34278,7th of 16,$81108278,100,100
6,2009,Milwaukee Brewers,NL Central,80,82,3,,Miller Park,3037451,37499,6th of 16,$81384502,98,98
7,2008,Milwaukee Brewers,NL Central,90,72,2,Lost LDS (3-1),Miller Park,3068458,37882,6th of 16,$80937499,98,98
8,2007,Milwaukee Brewers,NL Central,83,79,2,,Miller Park,2869144,35422,8th of 16,$70986500,100,100
9,2006,Milwaukee Brewers,NL Central,75,87,4,,Miller Park,2335643,28835,10th of 16,$57970333,101,101
10,2005,Milwaukee Brewers,NL Central,81,81,3,,Miller Park,2211023,27297,11th of 16,$39934833,101,100
11,2004,Milwaukee Brewers,NL Central,67,94,6,,Miller Park,2062382,25462,13th of 16,$27528500,101,100
12,2003,Milwaukee Brewers,NL Central,68,94,6,,Miller Park,1700354,20992,13th of 16,$40627000,100,98
13,2002,Milwaukee Brewers,NL Central,56,106,6,,Miller Park,1969153,24311,11th of 16,$50287833,99,98
14,2001,Milwaukee Brewers,NL Central,68,94,4,,Miller Park,2811041,34704,7th of 16,$43886833,98,97
15,2000,Milwaukee Brewers,NL Central,73,89,3,,County Stadium,1573621,19427,14th of 16,$37305333,98,97
16,1999,Milwaukee Brewers,NL Central,74,87,5,,County Stadium,1701796,21272,13th of 16,$43377395,99,98
17,1998,Milwaukee Brewers,NL Central,74,88,5,,County Stadium,1811593,22365,11th of 16,$34139904,101,100
18,1997,Milwaukee Brewers,AL Central,78,83,3,,County Stadium,1444027,18050,11th of 14,$23655338,102,101
19,1996,Milwaukee Brewers,AL Central,80,82,3,,County Stadium,1327155,16385,12th of 14,$21730000,104,103
20,1995,Milwaukee Brewers,AL Central,65,79,4,,County Stadium,1087560,15105,13th of 14,$17798825,105,105
21,1994,Milwaukee Brewers,AL Central,53,62,5,,County Stadium,1268399,22650,11th of 14,$24350500,104,104
22,1993,Milwaukee Brewers,AL East,69,93,7,,County Stadium,1688080,20840,14th of 14,$23806834,98,99
23,1992,Milwaukee Brewers,AL East,92,70,2,,County Stadium,1857351,22930,10th of 14,$31013667,98,98
24,1991,Milwaukee Brewers,AL East,83,79,4,,County Stadium,1478729,18484,13th of 14,$23115500,98,98
25,1990,Milwaukee Brewers,AL East,74,88,6,,County Stadium,1752900,21641,10th of 14,$20149167,99,99
26,1989,Milwaukee Brewers,AL East,81,81,4,,County Stadium,1970735,24330,10th of 14,$12716000,99,99
27,1988,Milwaukee Brewers,AL East,87,75,3,,County Stadium,1923238,23744,9th of 14,$9502000,100,101
28,1987,Milwaukee Brewers,AL East,91,71,3,,County Stadium,1909244,23571,8th of 14,$7293224,102,103
29,1986,Milwaukee Brewers,AL East,77,84,6,,County Stadium,1265041,15813,12th of 14,$9943642,104,103
30,1985,Milwaukee Brewers,AL East,71,90,6,,County Stadium,1360265,17003,10th of 14,$11284107,100,99
31,1984,Milwaukee Brewers,AL East,67,94,7,,County Stadium,1608509,19858,9th of 14,,97,96
32,1983,Milwaukee Brewers,AL East,87,75,5,,County Stadium,2397131,29594,2nd of 14,,92,93
33,1982,Milwaukee Brewers,AL East,95,67,1,Lost WS (4-3),County Stadium,1978896,24133,4th of 14,,93,94
34,1981,Milwaukee Brewers,AL East,62,47,1,Lost LDS (3-2),County Stadium,874292,17843,10th of 14,,94,95
35,1980,Milwaukee Brewers,AL East,86,76,3,,County Stadium,1857408,22651,5th of 14,,96,97
36,1979,Milwaukee Brewers,AL East,95,66,2,,County Stadium,1918343,23683,5th of 14,,99,100
37,1978,Milwaukee Brewers,AL East,93,69,3,,County Stadium,1601406,19770,6th of 14,,100,100
38,1977,Milwaukee Brewers,AL East,67,95,6,,County Stadium,1114938,13765,12th of 14,,100,100
39,1976,Milwaukee Brewers,AL East,66,95,6,,County Stadium,1012164,12496,7th of 12,,99,98
40,1975,Milwaukee Brewers,AL East,68,94,5,,County Stadium,1213357,14980,3rd of 12,,101,100
41,1974,Milwaukee Brewers,AL East,76,86,5,,County Stadium,955741,11799,9th of 12,,99,99
42,1973,Milwaukee Brewers,AL East,74,88,5,,County Stadium,1092158,13483,6th of 12,,98,97
43,1972,Milwaukee Brewers,AL East,65,91,6,,County Stadium,600440,7601,12th of 12,,98,97
44,1971,Milwaukee Brewers,AL West,69,92,6,,County Stadium,731531,8921,10th of 12,,99,98
45,1970,Milwaukee Brewers,AL West,65,97,4,,County Stadium,933690,11527,7th of 12,,101,100
46,1969,Seattle Pilots,AL West,64,98,6,,Sick's Stadium,677944,8268,10th of 12,,99,97

1,2014,Pittsburgh Pirates,NL Central,88,74,2,,PNC Park,2442564,30155,9th of 15,$71545000,97,98
2,2013,Pittsburgh Pirates,NL Central,94,68,2,Lost LDS (3-2),PNC Park,2256862,27862,11th of 15,$96205000,95,95
3,2012,Pittsburgh Pirates,NL Central,79,83,4,,PNC Park,2091918,25826,15th of 16,$70077000,95,95
4,2011,Pittsburgh Pirates,NL Central,72,90,4,,PNC Park,1940429,23956,15th of 16,$45047000,97,95
5,2010,Pittsburgh Pirates,NL Central,57,105,6,,PNC Park,1613399,19919,15th of 16,$37443000,100,98
6,2009,Pittsburgh Pirates,NL Central,62,99,6,,PNC Park,1577853,19480,15th of 16,$51912500,99,98
7,2008,Pittsburgh Pirates,NL Central,67,95,6,,PNC Park,1609076,19865,15th of 16,$48689783,97,96
8,2007,Pittsburgh Pirates,NL Central,68,94,6,,PNC Park,1749142,21594,15th of 16,$38537833,98,97
9,2006,Pittsburgh Pirates,NL Central,67,95,5,,PNC Park,1861549,22982,15th of 16,$46717750,99,98
10,2005,Pittsburgh Pirates,NL Central,67,95,6,,PNC Park,1817245,22435,16th of 16,$38133000,99,99
11,2004,Pittsburgh Pirates,NL Central,72,89,5,,PNC Park,1580031,19750,15th of 16,$32227929,99,99
12,2003,Pittsburgh Pirates,NL Central,75,87,4,,PNC Park,1636751,20207,14th of 16,$54812429,102,102
13,2002,Pittsburgh Pirates,NL Central,72,89,4,,PNC Park,1784988,22312,13th of 16,$42323599,103,102
14,2001,Pittsburgh Pirates,NL Central,62,100,6,,PNC Park,2464870,30430,11th of 16,$57760833,104,103
15,2000,Pittsburgh Pirates,NL Central,69,93,5,,Three Rivers Stadium,1748908,21591,12th of 16,$31328334,100,99
16,1999,Pittsburgh Pirates,NL Central,78,83,3,,Three Rivers Stadium,1638023,20223,14th of 16,$25047666,101,100
17,1998,Pittsburgh Pirates,NL Central,69,93,6,,Three Rivers Stadium,1560950,19271,15th of 16,$15065000,103,102
18,1997,Pittsburgh Pirates,NL Central,79,83,2,,Three Rivers Stadium,1657022,20457,12th of 14,$10771667,103,103
19,1996,Pittsburgh Pirates,NL Central,73,89,5,,Three Rivers Stadium,1332150,16652,14th of 14,$23017500,104,103
20,1995,Pittsburgh Pirates,NL Central,58,86,5,,Three Rivers Stadium,905517,12577,14th of 14,$18355345,102,101
21,1994,Pittsburgh Pirates,NL Central,53,61,3,,Three Rivers Stadium,1222520,20041,12th of 14,$24217250,102,101
22,1993,Pittsburgh Pirates,NL East,75,87,5,,Three Rivers Stadium,1650593,20378,12th of 14,$24822467,99,99
23,1992,Pittsburgh Pirates,NL East,96,66,1,Lost NLCS (4-3),Three Rivers Stadium,1829395,22585,7th of 12,$33944167,99,100
24,1991,Pittsburgh Pirates,NL East,98,64,1,Lost NLCS (4-3),Three Rivers Stadium,2065302,24587,7th of 12,$23634667,97,99
25,1990,Pittsburgh Pirates,NL East,95,67,1,Lost NLCS (4-2),Three Rivers Stadium,2049908,25308,6th of 12,$15556000,95,96
26,1989,Pittsburgh Pirates,NL East,74,88,5,,Three Rivers Stadium,1374141,16965,11th of 12,$13992500,96,96
27,1988,Pittsburgh Pirates,NL East,85,75,2,,Three Rivers Stadium,1866713,23046,8th of 12,$7128500,98,98
28,1987,Pittsburgh Pirates,NL East,80,82,4,,Three Rivers Stadium,1161193,14336,12th of 12,$8789500,100,100
29,1986,Pittsburgh Pirates,NL East,64,98,6,,Three Rivers Stadium,1000917,12357,12th of 12,$10938500,103,102
30,1985,Pittsburgh Pirates,NL East,57,104,6,,Three Rivers Stadium,735900,9199,12th of 12,$9267500,100,99
31,1984,Pittsburgh Pirates,NL East,75,87,6,,Three Rivers Stadium,773500,9549,12th of 12,,101,100
32,1983,Pittsburgh Pirates,NL East,84,78,2,,Three Rivers Stadium,1225916,15135,10th of 12,,102,103
33,1982,Pittsburgh Pirates,NL East,84,78,4,,Three Rivers Stadium,1024106,12643,12th of 12,,104,104
34,1981,Pittsburgh Pirates,NL East,46,56,4,,Three Rivers Stadium,541789,10623,10th of 12,,104,104
35,1980,Pittsburgh Pirates,NL East,83,79,3,,Three Rivers Stadium,1646757,20330,6th of 12,,102,103
36,1979,Pittsburgh Pirates,NL East,98,64,1,Won WS (4-3),Three Rivers Stadium,1435454,17722,10th of 12,,104,105
37,1978,Pittsburgh Pirates,NL East,88,73,2,,Three Rivers Stadium,964106,11903,11th of 12,,104,105
38,1977,Pittsburgh Pirates,NL East,96,66,2,,Three Rivers Stadium,1237349,15276,8th of 12,,101,102
39,1976,Pittsburgh Pirates,NL East,92,70,2,,Three Rivers Stadium,1025945,12666,8th of 12,,99,100
40,1975,Pittsburgh Pirates,NL East,92,69,1,Lost NLCS (3-0),Three Rivers Stadium,1270018,15875,7th of 12,,97,98
41,1974,Pittsburgh Pirates,NL East,88,74,1,Lost NLCS (3-1),Three Rivers Stadium,1110552,13711,6th of 12,,95,96
42,1973,Pittsburgh Pirates,NL East,80,82,3,,Three Rivers Stadium,1319913,16295,8th of 12,,96,98
43,1972,Pittsburgh Pirates,NL East,96,59,1,Lost NLCS (3-2),Three Rivers Stadium,1427460,18301,5th of 12,,97,98
44,1971,Pittsburgh Pirates,NL East,97,65,1,Won WS (4-3),Three Rivers Stadium,1501132,18764,7th of 12,,99,102
45,1970,Pittsburgh Pirates,NL East,89,73,1,Lost NLCS (3-0),Forbes Field &  Three Rivers Stadium,1341947,16365,7th of 12,,96,97
46,1969,Pittsburgh Pirates,NL East,88,74,3,,Forbes Field,769369,9498,10th of 12,,97,98
47,1968,Pittsburgh Pirates,NL,80,82,6,,Forbes Field,693485,8562,9th of 10,,97,98
48,1967,Pittsburgh Pirates,NL,81,81,6,,Forbes Field,907012,11198,9th of 10,,99,100
49,1966,Pittsburgh Pirates,NL,92,70,3,,Forbes Field,1196618,14773,7th of 10,,99,100
50,1965,Pittsburgh Pirates,NL,90,72,3,,Forbes Field,909279,11089,8th of 10,,99,100
51,1964,Pittsburgh Pirates,NL,80,82,6,,Forbes Field,759496,9376,8th of 10,,99,99
52,1963,Pittsburgh Pirates,NL,74,88,8,,Forbes Field,783648,9675,8th of 10,,100,100
53,1962,Pittsburgh Pirates,NL,93,68,4,,Forbes Field,1090648,13465,3rd of 10,,100,101
54,1961,Pittsburgh Pirates,NL,75,79,6,,Forbes Field,1199128,15573,3rd of 8,,98,99
55,1960,Pittsburgh Pirates,NL,95,59,1,Won WS (4-3),Forbes Field,1705828,21870,3rd of 8,,100,101
56,1959,Pittsburgh Pirates,NL,78,76,4,,Forbes Field,1359917,17661,4th of 8,,97,98
57,1958,Pittsburgh Pirates,NL,84,70,2,,Forbes Field,1311988,17039,3rd of 8,,98,98
58,1957,Pittsburgh Pirates,NL,62,92,7,,Forbes Field,850732,11048,6th of 8,,98,97
59,1956,Pittsburgh Pirates,NL,66,88,7,,Forbes Field,949878,12178,6th of 8,,99,97
60,1955,Pittsburgh Pirates,NL,60,94,8,,Forbes Field,469397,6259,8th of 8,,101,98
61,1954,Pittsburgh Pirates,NL,53,101,8,,Forbes Field,475494,6175,8th of 8,,102,98
62,1953,Pittsburgh Pirates,NL,50,104,8,,Forbes Field,572757,7438,7th of 8,,104,99
63,1952,Pittsburgh Pirates,NL,42,112,8,,Forbes Field,686673,8918,6th of 8,,106,102
64,1951,Pittsburgh Pirates,NL,64,90,7,,Forbes Field,980590,12572,4th of 8,,106,102
65,1950,Pittsburgh Pirates,NL,57,96,8,,Forbes Field,1166267,15146,3rd of 8,,105,103
66,1949,Pittsburgh Pirates,NL,71,83,6,,Forbes Field,1449435,18824,2nd of 8,,104,102
67,1948,Pittsburgh Pirates,NL,83,71,4,,Forbes Field,1517021,18963,1st of 8,,103,102
68,1947,Pittsburgh Pirates,NL,62,92,7,,Forbes Field,1283531,16247,5th of 8,,104,103
69,1946,Pittsburgh Pirates,NL,63,91,7,,Forbes Field,749962,9615,7th of 8,,103,103
70,1945,Pittsburgh Pirates,NL,82,72,4,,Forbes Field,604694,7654,4th of 8,,104,104
71,1944,Pittsburgh Pirates,NL,90,63,2,,Forbes Field,604278,7460,4th of 8,,103,104
72,1943,Pittsburgh Pirates,NL,80,74,4,,Forbes Field,498740,6394,4th of 8,,103,104
73,1942,Pittsburgh Pirates,NL,66,81,5,,Forbes Field,448897,5830,5th of 8,,102,103
74,1941,Pittsburgh Pirates,NL,81,73,4,,Forbes Field,482241,6183,6th of 8,,100,100
75,1940,Pittsburgh Pirates,NL,78,76,4,,Forbes Field,507934,6772,5th of 8,,99,99
76,1939,Pittsburgh Pirates,NL,68,85,6,,Forbes Field,376734,4893,6th of 8,,98,98
77,1938,Pittsburgh Pirates,NL,86,64,2,,Forbes Field,641033,8218,5th of 8,,100,100
78,1937,Pittsburgh Pirates,NL,86,68,3,,Forbes Field,459679,5893,4th of 8,,98,99
79,1936,Pittsburgh Pirates,NL,84,70,4,,Forbes Field,372524,4902,6th of 8,,101,102
80,1935,Pittsburgh Pirates,NL,86,67,4,,Forbes Field,352885,4583,6th of 8,,102,103
81,1934,Pittsburgh Pirates,NL,74,76,5,,Forbes Field,322622,4136,4th of 8,,102,103
82,1933,Pittsburgh Pirates,NL,87,67,2,,Forbes Field,288747,3750,5th of 8,,99,100
83,1932,Pittsburgh Pirates,NL,86,68,2,,Forbes Field,287262,3780,6th of 8,,97,97
84,1931,Pittsburgh Pirates,NL,75,79,5,,Forbes Field,260392,3338,8th of 8,,99,98
85,1930,Pittsburgh Pirates,NL,80,74,5,,Forbes Field,357795,4647,7th of 8,,100,100
86,1929,Pittsburgh Pirates,NL,88,65,2,,Forbes Field,491377,6465,4th of 8,,102,103
87,1928,Pittsburgh Pirates,NL,85,67,4,,Forbes Field,495070,6429,5th of 8,,102,104
88,1927,Pittsburgh Pirates,NL,94,60,1,Lost WS (4-0),Forbes Field,869720,11009,2nd of 8,,106,108
89,1926,Pittsburgh Pirates,NL,84,69,3,,Forbes Field,798542,10108,2nd of 8,,102,104
90,1925,Pittsburgh Pirates,NL,95,58,1,Won WS (4-3),Forbes Field,804354,10446,1st of 8,,104,106
91,1924,Pittsburgh Pirates,NL,90,63,3,,Forbes Field,736883,9570,3rd of 8,,99,102
92,1923,Pittsburgh Pirates,NL,87,67,3,,Forbes Field,611082,7936,3rd of 8,,100,102
93,1922,Pittsburgh Pirates,NL,85,69,3,,Forbes Field,523675,6714,4th of 8,,100,101
94,1921,Pittsburgh Pirates,NL,90,63,2,,Forbes Field,701567,9231,2nd of 8,,101,102
95,1920,Pittsburgh Pirates,NL,79,75,4,,Forbes Field,429037,5500,5th of 8,,103,103
96,1919,Pittsburgh Pirates,NL,71,68,4,,Forbes Field,276810,3954,5th of 8,,104,104
97,1918,Pittsburgh Pirates,NL,65,60,4,,Forbes Field,213610,3009,3rd of 8,,105,104
98,1917,Pittsburgh Pirates,NL,51,103,8,,Forbes Field,192807,2441,7th of 8,,105,103
99,1916,Pittsburgh Pirates,NL,65,89,6,,Forbes Field,289132,3707,6th of 8,,101,100
100,1915,Pittsburgh Pirates,NL,73,81,5,,Forbes Field,225743,2858,6th of 8,,98,98
101,1914,Pittsburgh Pirates,NL,69,85,7,,Forbes Field,139620,1813,6th of 8,,94,94
102,1913,Pittsburgh Pirates,NL,78,71,4,,Forbes Field,296000,3747,5th of 8,,94,95
103,1912,Pittsburgh Pirates,NL,93,58,2,,Forbes Field,384000,5120,3rd of 8,,96,99
104,1911,Pittsburgh Pirates,NL,85,69,3,,Forbes Field,432000,5538,4th of 8,,101,104
105,1910,Pittsburgh Pirates,NL,86,67,3,,Forbes Field,436586,5745,3rd of 8,,104,107
106,1909,Pittsburgh Pirates,NL,110,42,1,Won WS (4-3),Forbes Field &  Exposition Park III,534950,6772,3rd of 8,,99,104
107,1908,Pittsburgh Pirates,NL,98,56,2,,Exposition Park III,382444,4967,5th of 8,,97,100
108,1907,Pittsburgh Pirates,NL,91,63,2,,Exposition Park III,319506,4149,6th of 8,,98,101
109,1906,Pittsburgh Pirates,NL,93,60,3,,Exposition Park III,394877,5128,3rd of 8,,101,104
110,1905,Pittsburgh Pirates,NL,96,57,2,,Exposition Park III,369124,4732,3rd of 8,,100,102
111,1904,Pittsburgh Pirates,NL,87,66,4,,Exposition Park III,340615,4367,5th of 8,,100,102
112,1903,Pittsburgh Pirates,NL,91,49,1,Lost WS (5-3),Exposition Park III,326855,4669,4th of 8,,100,104
113,1902,Pittsburgh Pirates,NL,103,36,1,,Exposition Park III,243826,3434,3rd of 8,,98,102
114,1901,Pittsburgh Pirates,NL,90,49,1,,Exposition Park III,251955,3652,3rd of 8,,99,104
115,1900,Pittsburgh Pirates,NL,79,60,2,,Exposition Park III,264000,3771,3rd of 8,,98,100
116,1899,Pittsburgh Pirates,NL,76,73,7,,Exposition Park III,251834,2963,6th of 12,,99,100
117,1898,Pittsburgh Pirates,NL,72,76,8,,Exposition Park III,150900,2012,6th of 12,,99,98
118,1897,Pittsburgh Pirates,NL,60,71,8,,Exposition Park III,165950,2553,8th of 12,,96,96
119,1896,Pittsburgh Pirates,NL,66,63,6,,Exposition Park III,197000,2985,9th of 12,,96,96
120,1895,Pittsburgh Pirates,NL,71,61,7,,Exposition Park III,188000,2806,8th of 12,,95,95
121,1894,Pittsburgh Pirates,NL,65,65,7,,Exposition Park III,159000,2120,6th of 12,,98,98
122,1893,Pittsburgh Pirates,NL,81,48,2,,Exposition Park III,184000,2521,8th of 12,,97,97
123,1892,Pittsburgh Pirates,NL,80,73,6,,Exposition Park III,177205,1991,5th of 12,,100,101
124,1891,Pittsburgh Pirates,NL,55,80,8,,Exposition Park III,128000,1939,7th of 8,,96,95
125,1890,Pittsburgh Alleghenys,NL,23,113,8,,Recreation Park Island Grounds &  Mahaffey Park,16064,402,8th,,93,89
126,1889,Pittsburgh Alleghenys,NL,61,71,5,,Recreation Park,,,,,91,89
127,1888,Pittsburgh Alleghenys,NL,66,68,6,,Recreation Park,,,,,93,92
128,1887,Pittsburgh Alleghenys,NL,55,69,6,,Recreation Park,,,,,93,93
129,1886,Pittsburgh Alleghenys,AA,80,57,2,,Recreation Park,,,,,96,96
130,1885,Pittsburgh Alleghenys,AA,56,55,3,,Recreation Park,,,,,100,99
131,1884,Pittsburgh Alleghenys,AA,30,78,11,,Exposition Park I,,,,,103,102
132,1883,Pittsburgh Alleghenys,AA,31,67,7,,Exposition Park I &  Exposition Park II,,,,,97,92
133,1882,Pittsburgh Alleghenys,AA,39,39,4,,Exposition Park I,,,,,98,99

1,2014,St. Louis Cardinals,NL Central,90,72,1,,Busch Stadium III,3540649,43712,2nd of 15,$99990000,100,101
2,2013,St. Louis Cardinals,NL Central,97,65,1,Lost WS (4-2),Busch Stadium III,3369769,41602,2nd of 15,$112583000,100,101
3,2012,St. Louis Cardinals,NL Central,88,74,2,Lost NLCS (4-3),Busch Stadium III,3262109,40273,4th of 16,$112071000,96,98
4,2011,St. Louis Cardinals,NL Central,90,72,2,Won WS (4-3),Busch Stadium III,3093954,38197,3rd of 16,$105433572,97,98
5,2010,St. Louis Cardinals,NL Central,86,76,2,,Busch Stadium III,3301218,40756,3rd of 16,$93540751,96,97
6,2009,St. Louis Cardinals,NL Central,91,71,1,Lost LDS (3-0),Busch Stadium III,3343252,41275,3rd of 16,$90928409,97,98
7,2008,St. Louis Cardinals,NL Central,86,76,4,,Busch Stadium III,3432917,42382,3rd of 16,$99624449,98,98
8,2007,St. Louis Cardinals,NL Central,78,84,3,,Busch Stadium III,3552180,43854,3rd of 16,$90286823,99,99
9,2006,St. Louis Cardinals,NL Central,83,78,1,Won WS (4-1),Busch Stadium III,3407104,42589,2nd of 16,$88891371,99,99
10,2005,St. Louis Cardinals,NL Central,100,62,1,Lost NLCS (4-2),Busch Stadium II,3538988,43691,2nd of 16,$92106833,100,101
11,2004,St. Louis Cardinals,NL Central,105,57,1,Lost WS (4-0),Busch Stadium II,3048427,37635,6th of 16,$84340333,98,99
12,2003,St. Louis Cardinals,NL Central,85,77,3,,Busch Stadium II,2910386,35931,4th of 16,$83786666,96,97
13,2002,St. Louis Cardinals,NL Central,97,65,1,Lost NLCS (4-1),Busch Stadium II,3011756,37182,4th of 16,$74660875,97,98
14,2001,St. Louis Cardinals,NL Central,93,69,2,Lost LDS (3-2),Busch Stadium II,3109578,37922,3rd of 16,$79373333,99,100
15,2000,St. Louis Cardinals,NL Central,95,67,1,Lost NLCS (4-1),Busch Stadium II,3336493,41191,1st of 16,$61653863,101,101
16,1999,St. Louis Cardinals,NL Central,75,86,4,,Busch Stadium II,3225334,40317,3rd of 16,$49988195,101,101
17,1998,St. Louis Cardinals,NL Central,83,79,3,,Busch Stadium II,3195691,38972,4th of 16,$54672521,100,100
18,1997,St. Louis Cardinals,NL Central,73,89,4,,Busch Stadium II,2634014,32519,4th of 14,$45456667,99,99
19,1996,St. Louis Cardinals,NL Central,88,74,1,Lost NLCS (4-3),Busch Stadium II,2654718,32774,4th of 14,$40269667,99,99
20,1995,St. Louis Cardinals,NL Central,62,81,4,,Busch Stadium II,1756727,24399,7th of 14,$37101000,99,98
21,1994,St. Louis Cardinals,NL Central,53,61,3,,Busch Stadium II,1866544,33331,8th of 14,$29275601,98,98
22,1993,St. Louis Cardinals,NL East,87,75,3,,Busch Stadium II,2844977,35123,6th of 14,$23367334,97,97
23,1992,St. Louis Cardinals,NL East,83,79,3,,Busch Stadium II,2418483,29858,3rd of 12,$27583836,97,97
24,1991,St. Louis Cardinals,NL East,84,78,2,,Busch Stadium II,2448699,29151,2nd of 12,$21860001,100,100
25,1990,St. Louis Cardinals,NL East,70,92,6,,Busch Stadium II,2573225,31768,3rd of 12,$21048334,100,100
26,1989,St. Louis Cardinals,NL East,86,76,3,,Busch Stadium II,3080980,37120,1st of 12,$16078833,103,103
27,1988,St. Louis Cardinals,NL East,76,86,5,,Busch Stadium II,2892799,35714,3rd of 12,$13192500,101,101
28,1987,St. Louis Cardinals,NL East,95,67,1,Lost WS (4-3),Busch Stadium II,3072122,37927,1st of 12,$11758000,102,102
29,1986,St. Louis Cardinals,NL East,79,82,3,,Busch Stadium II,2471974,30518,3rd of 12,$9875010,98,100
30,1985,St. Louis Cardinals,NL East,101,61,1,Lost WS (4-3),Busch Stadium II,2637563,32563,3rd of 12,$11817083,99,100
31,1984,St. Louis Cardinals,NL East,84,78,3,,Busch Stadium II,2037448,25154,4th of 12,,97,98
32,1983,St. Louis Cardinals,NL East,79,83,4,,Busch Stadium II,2317914,28616,2nd of 12,,100,101
33,1982,St. Louis Cardinals,NL East,92,70,1,Won WS (4-3),Busch Stadium II,2111906,26073,4th of 12,,101,101
34,1981,St. Louis Cardinals,NL East,59,43,1,,Busch Stadium II,1010247,19061,6th of 12,,102,103
35,1980,St. Louis Cardinals,NL East,74,88,4,,Busch Stadium II,1385147,17101,7th of 12,,103,104
36,1979,St. Louis Cardinals,NL East,86,76,3,,Busch Stadium II,1627256,19845,7th of 12,,102,102
37,1978,St. Louis Cardinals,NL East,69,93,5,,Busch Stadium II,1278215,15780,8th of 12,,99,99
38,1977,St. Louis Cardinals,NL East,83,79,3,,Busch Stadium II,1659287,19991,4th of 12,,99,99
39,1976,St. Louis Cardinals,NL East,72,90,5,,Busch Stadium II,1207079,14902,6th of 12,,101,101
40,1975,St. Louis Cardinals,NL East,82,80,3,,Busch Stadium II,1695270,20674,5th of 12,,104,104
41,1974,St. Louis Cardinals,NL East,86,75,2,,Busch Stadium II,1838413,22696,3rd of 12,,99,100
42,1973,St. Louis Cardinals,NL East,81,81,2,,Busch Stadium II,1574046,19433,4th of 12,,100,100
43,1972,St. Louis Cardinals,NL East,75,81,4,,Busch Stadium II,1196894,15544,8th of 12,,99,99
44,1971,St. Louis Cardinals,NL East,90,72,2,,Busch Stadium II,1604671,19569,4th of 12,,104,104
45,1970,St. Louis Cardinals,NL East,76,86,4,,Busch Stadium II,1629736,20120,5th of 12,,102,102
46,1969,St. Louis Cardinals,NL East,87,75,4,,Busch Stadium II,1682783,21035,3rd of 12,,99,100
47,1968,St. Louis Cardinals,NL,97,65,1,Lost WS (4-3),Busch Stadium II,2011167,24829,1st of 10,,97,99
48,1967,St. Louis Cardinals,NL,101,60,1,Won WS (4-3),Busch Stadium II,2090145,25804,1st of 10,,97,99
49,1966,St. Louis Cardinals,NL,83,79,6,,Busch Stadium II &  Busch Stadium I,1712980,21148,4th of 10,,100,100
50,1965,St. Louis Cardinals,NL,80,81,7,,Busch Stadium I,1241201,15323,5th of 10,,109,109
51,1964,St. Louis Cardinals,NL,93,69,1,Won WS (4-3),Busch Stadium I,1143294,14115,5th of 10,,108,109
52,1963,St. Louis Cardinals,NL,93,69,2,,Busch Stadium I,1170546,14451,3rd of 10,,108,110
53,1962,St. Louis Cardinals,NL,84,78,6,,Busch Stadium I,953895,11776,5th of 10,,109,111
54,1961,St. Louis Cardinals,NL,80,74,5,,Busch Stadium I,855305,10965,6th of 8,,109,109
55,1960,St. Louis Cardinals,NL,86,68,3,,Busch Stadium I,1096632,14242,5th of 8,,108,108
56,1959,St. Louis Cardinals,NL,71,83,7,,Busch Stadium I,929953,12077,5th of 8,,107,106
57,1958,St. Louis Cardinals,NL,72,82,5,,Busch Stadium I,1063730,13815,5th of 8,,105,105
58,1957,St. Louis Cardinals,NL,87,67,2,,Busch Stadium I,1183575,15371,2nd of 8,,102,102
59,1956,St. Louis Cardinals,NL,76,78,4,,Busch Stadium I,1029773,13202,4th of 8,,99,99
60,1955,St. Louis Cardinals,NL,68,86,7,,Busch Stadium I,849130,11028,5th of 8,,100,99
61,1954,St. Louis Cardinals,NL,72,82,6,,Busch Stadium I,1039698,13503,3rd of 8,,101,100
62,1953,St. Louis Cardinals,NL,83,71,3,,Busch Stadium I,880242,11285,3rd of 8,,99,100
